aerolinea,origen,destino,retraso,distancia_km,fecha_partida,dia_semana,hora_salida,Time,fecha_hora_clima,temperatura,velocidad_viento,precipitacion,visibilidad
US,BOS,CLT,0,1973.3334,2018-12-02 09:30:00,2,09:30:00,570,2018-12-02 09:00:00,3.1,7.6,1.0,4000
MQ,ORD,MEM,0,1466.6666,2018-12-27 14:00:00,4,14:00:00,840,2018-12-27 14:00:00,3.4,22.2,1.3,5000
FL,LEX,MCO,0,1533.3334,2018-12-04 17:58:00,5,17:58:00,1078,2018-12-04 17:00:00,2.2,5.4,0.0,6000
XE,IAH,RIC,1,2106.6667,2018-12-23 10:25:00,5,10:25:00,625,2018-12-23 10:00:00,11.7,10.1,0.0,8000
MQ,DFW,PIA,0,1466.6666,2018-12-20 14:55:00,1,14:55:00,895,2018-12-20 14:00:00,7.8,24.3,0.0,10000
UA,RDU,ORD,1,1866.6666,2018-12-02 08:55:00,2,08:55:00,535,2018-12-02 08:00:00,15.5,12.0,0.0,6000
DL,CVG,ATL,1,1320.0,2018-12-23 12:20:00,4,12:20:00,740,2018-12-23 12:00:00,0.0,8.7,0.0,10000
US,CLT,RIC,0,840.0,2018-12-22 22:25:00,4,22:25:00,1345,2018-12-22 22:00:00,7.2,7.2,0.0,10000
AA,PHX,DFW,0,1866.6666,2018-12-17 07:05:00,6,07:05:00,425,2018-12-17 07:00:00,10.2,6.8,0.0,9000
WN,LAS,PHX,1,933.3333,2018-12-02 17:55:00,3,17:55:00,1075,2018-12-02 17:00:00,7.8,11.5,0.0,10000
AA,COS,DFW,0,1400.0,2018-12-18 11:10:00,1,11:10:00,670,2018-12-18 11:00:00,-0.9,6.4,0.0,8000
WN,MDW,PHX,1,3200.0,2018-12-25 13:30:00,7,13:30:00,810,2018-12-25 13:00:00,-0.8,8.0,0.0,6000
DL,SLC,ATL,1,2840.0,2018-12-27 12:00:00,1,12:00:00,720,2018-12-27 12:00:00,-4.6,2.2,0.1,4000
AA,DFW,ATL,0,1533.3334,2018-12-03 20:30:00,2,20:30:00,1230,2018-12-03 20:00:00,10.9,13.7,0.0,6000
WN,RSW,MCO,0,666.6667,2018-12-28 11:10:00,4,11:10:00,670,2018-12-28 11:00:00,21.8,17.5,0.0,6000
WN,MCI,DAL,1,1200.0,2018-12-23 19:40:00,5,19:40:00,1180,2018-12-23 19:00:00,6.6,14.5,0.0,10000
OO,SLC,TWF,0,800.0,2018-12-31 08:15:00,7,08:15:00,495,2018-12-31 08:00:00,-4.8,2.2,0.1,4000
DL,LAX,MSP,1,2853.3333,2018-12-22 00:30:00,7,00:30:00,30,2018-12-22 00:00:00,15.6,7.1,0.0,10000
DL,EWR,ATL,1,1933.3334,2018-12-04 12:44:00,4,12:44:00,764,2018-12-04 12:00:00,1.1,10.8,0.0,6000
US,DCA,BOS,0,1173.3334,2018-12-18 15:30:00,3,15:30:00,930,2018-12-18 15:00:00,4.2,19.1,0.0,10000
YV,SBA,PHX,0,1186.6666,2018-12-12 12:40:00,6,12:40:00,760,2018-12-12 12:00:00,9.6,1.1,0.0,9000
DL,ATL,ROC,1,1706.6666,2018-12-20 12:52:00,2,12:52:00,772,2018-12-20 12:00:00,7.4,21.1,3.6,4000
9E,MDW,DTW,1,1200.0,2018-12-14 16:15:00,6,16:15:00,975,2018-12-14 16:00:00,4.6,12.6,0.0,6000
OO,CLD,LAX,1,533.3333,2018-12-17 06:20:00,3,06:20:00,380,2018-12-17 06:00:00,12.2,3.4,0.0,6000
DL,SLC,SNA,0,1626.6666,2018-12-19 08:40:00,7,08:40:00,520,2018-12-19 08:00:00,-0.2,10.4,0.1,6000
OH,JFK,BUF,0,1360.0,2018-12-04 14:00:00,5,14:00:00,840,2018-12-04 14:00:00,3.4,19.7,0.0,10000
DL,ATL,ORF,1,1253.3334,2018-12-24 16:31:00,1,16:31:00,991,2018-12-24 16:00:00,4.7,15.9,0.0,9000
WN,LAS,MSY,0,2600.0,2018-12-15 18:15:00,5,18:15:00,1095,2018-12-15 18:00:00,11.5,6.9,0.0,10000
9E,ATL,SAV,1,1000.0,2018-12-01 16:26:00,7,16:26:00,986,2018-12-01 16:00:00,13.1,29.7,4.6,4000
EV,IAD,HSV,1,1600.0,2018-12-02 16:54:00,4,16:54:00,1014,2018-12-02 16:00:00,11.1,13.0,0.0,6000
AS,SEA,LAS,0,1986.6666,2018-12-24 09:55:00,5,09:55:00,595,2018-12-24 09:00:00,3.8,10.6,0.0,9000
F9,DEN,MKE,0,1760.0,2018-12-03 15:05:00,4,15:05:00,905,2018-12-03 15:00:00,-3.1,5.2,0.0,6000
EV,CVG,BWI,0,1226.6666,2018-12-26 09:15:00,6,09:15:00,555,2018-12-26 09:00:00,-3.1,6.7,0.0,10000
9E,SCE,DTW,0,1133.3334,2018-12-23 16:36:00,2,16:36:00,996,2018-12-23 16:00:00,2.3,6.6,0.0,8000
B6,JFK,HOU,0,3373.3333,2018-12-16 20:30:00,3,20:30:00,1230,2018-12-16 20:00:00,4.7,29.3,0.3,6000
DL,DFW,ATL,1,1693.3334,2018-12-23 19:30:00,4,19:30:00,1170,2018-12-23 19:00:00,10.9,15.1,0.0,10000
HA,HNL,LIH,1,506.66666,2018-12-27 13:03:00,2,13:03:00,783,2018-12-27 13:00:00,21.7,5.1,0.0,10000
DL,DAB,ATL,0,1200.0,2018-12-16 15:10:00,1,15:10:00,910,2018-12-16 15:00:00,15.9,9.2,0.0,6000
WN,PHX,ONT,1,933.3333,2018-12-08 14:35:00,6,14:35:00,875,2018-12-08 14:00:00,9.5,1.1,0.0,6000
AA,PHX,ORD,1,2666.6667,2018-12-13 17:20:00,4,17:20:00,1040,2018-12-13 17:00:00,11.7,8.0,0.0,10000
WN,AUS,LAS,0,2466.6667,2018-12-26 07:50:00,3,07:50:00,470,2018-12-26 07:00:00,17.3,19.7,0.0,6000
WN,BWI,ALB,0,933.3333,2018-12-21 09:10:00,2,09:10:00,550,2018-12-21 09:00:00,14.1,21.9,0.3,6000
WN,DEN,MDW,0,1933.3334,2018-12-21 06:15:00,4,06:15:00,375,2018-12-21 06:00:00,-3.2,8.7,0.0,8000
MQ,ORD,LEX,0,1066.6666,2018-12-02 19:00:00,5,19:00:00,1140,2018-12-02 19:00:00,5.6,16.0,0.0,6000
WN,PHX,SJC,1,1666.6666,2018-12-31 09:20:00,7,09:20:00,560,2018-12-31 09:00:00,2.5,10.4,0.0,10000
CO,PBI,EWR,1,2413.3333,2018-12-05 14:00:00,5,14:00:00,840,2018-12-05 14:00:00,17.8,24.3,0.0,8000
US,PHL,BOS,0,1200.0,2018-12-17 18:15:00,5,18:15:00,1095,2018-12-17 18:00:00,9.4,24.3,0.0,10000
B6,JFK,BUF,0,1106.6666,2018-12-05 22:50:00,5,22:50:00,1370,2018-12-05 22:00:00,0.1,5.2,0.0,6000
WN,MCO,SDF,0,1733.3334,2018-12-24 08:20:00,1,08:20:00,500,2018-12-24 08:00:00,6.5,11.0,0.0,8000
OO,DEN,FAT,0,1973.3334,2018-12-25 21:30:00,5,21:30:00,1290,2018-12-25 21:00:00,7.7,8.6,0.0,10000
WN,MDW,ORF,1,1600.0,2018-12-26 19:00:00,6,19:00:00,1140,2018-12-26 19:00:00,7.2,8.7,0.0,6000
AA,TPA,JFK,0,2133.3333,2018-12-14 13:20:00,6,13:20:00,800,2018-12-14 13:00:00,21.4,25.2,0.0,6000
AA,MIA,EWR,0,2266.6667,2018-12-05 10:05:00,5,10:05:00,605,2018-12-05 10:00:00,20.2,11.9,0.0,9000
OO,DEN,MSO,0,1773.3334,2018-12-21 08:07:00,5,08:07:00,487,2018-12-21 08:00:00,-1.3,12.7,0.0,8000
DL,MCO,DTW,1,2120.0,2018-12-26 10:15:00,2,10:15:00,615,2018-12-26 10:00:00,13.3,12.2,0.0,10000
EV,PHL,MEM,0,2333.3333,2018-12-29 06:00:00,4,06:00:00,360,2018-12-29 06:00:00,11.2,15.7,0.0,6000
XE,SAV,EWR,0,1666.6666,2018-12-15 06:23:00,2,06:23:00,383,2018-12-15 06:00:00,15.2,7.8,4.2,4000
US,LAS,PHX,1,933.3333,2018-12-02 08:05:00,3,08:05:00,485,2018-12-02 08:00:00,7.9,1.5,0.0,6000
DL,DTW,MCO,1,2133.3333,2018-12-13 12:10:00,6,12:10:00,730,2018-12-13 12:00:00,-2.5,7.2,0.0,10000
UA,SFO,LAX,1,1240.0,2018-12-22 16:17:00,5,16:17:00,977,2018-12-22 16:00:00,7.9,5.5,0.0,10000
UA,CMH,ORD,0,1120.0,2018-12-09 07:05:00,1,07:05:00,425,2018-12-09 07:00:00,-5.4,12.0,0.0,6000
AA,SAN,DFW,1,2400.0,2018-12-12 08:35:00,1,08:35:00,515,2018-12-12 08:00:00,11.0,11.4,0.0,10000
OH,XNA,ATL,0,1506.6666,2018-12-19 16:06:00,7,16:06:00,966,2018-12-19 16:00:00,7.9,10.4,0.0,6000
WN,DEN,GEG,0,2000.0,2018-12-14 09:30:00,5,09:30:00,570,2018-12-14 09:00:00,-3.3,11.5,0.0,10000
DL,ATL,AUS,0,2106.6667,2018-12-26 16:15:00,2,16:15:00,975,2018-12-26 16:00:00,10.2,15.0,0.0,6000
MQ,CVG,DFW,1,2200.0,2018-12-18 18:20:00,2,18:20:00,1100,2018-12-18 18:00:00,5.4,1.5,0.0,9000
WN,MDW,BNA,1,1066.6666,2018-12-30 10:40:00,4,10:40:00,640,2018-12-30 10:00:00,-7.0,14.3,0.0,10000
OO,HSV,DEN,0,2440.0,2018-12-08 14:37:00,6,14:37:00,877,2018-12-08 14:00:00,5.6,11.2,1.6,5000
AA,DFW,SNA,1,2600.0,2018-12-09 18:20:00,2,18:20:00,1100,2018-12-09 18:00:00,6.2,16.7,0.0,9000
EV,GSP,ATL,0,1026.6666,2018-12-16 14:00:00,6,14:00:00,840,2018-12-16 14:00:00,6.8,9.3,0.0,10000
MQ,MDT,ORD,0,1933.3334,2018-12-27 07:30:00,5,07:30:00,450,2018-12-27 07:00:00,-2.3,6.5,0.0,10000
YV,PHX,FLG,0,773.3333,2018-12-09 22:40:00,7,22:40:00,1360,2018-12-09 22:00:00,20.3,4.7,0.0,10000
WN,LAS,RNO,1,1000.0,2018-12-26 21:55:00,4,21:55:00,1315,2018-12-26 21:00:00,12.6,29.5,0.0,9000
US,ORD,PHL,0,1586.6666,2018-12-20 06:00:00,7,06:00:00,360,2018-12-20 06:00:00,5.2,13.7,0.0,6000
AA,ATL,DFW,0,2000.0,2018-12-16 16:40:00,4,16:40:00,1000,2018-12-16 16:00:00,9.6,20.3,0.0,6000
WN,LAX,RNO,1,1066.6666,2018-12-14 07:00:00,1,07:00:00,420,2018-12-14 07:00:00,11.1,16.4,0.0,6000
XE,IAH,IAD,0,2253.3333,2018-12-17 07:20:00,5,07:20:00,440,2018-12-17 07:00:00,10.1,6.3,0.0,6000
CO,RSW,CLE,0,2066.6667,2018-12-15 12:10:00,1,12:10:00,730,2018-12-15 12:00:00,18.9,10.8,0.0,6000
WN,BWI,FLL,0,2133.3333,2018-12-23 19:00:00,1,19:00:00,1140,2018-12-23 19:00:00,8.5,7.7,0.0,10000
EV,EWR,MEM,0,2533.3333,2018-12-28 10:40:00,4,10:40:00,640,2018-12-28 10:00:00,7.2,15.0,0.4,6000
DL,ATL,MSY,0,1413.3334,2018-12-24 08:30:00,6,08:30:00,510,2018-12-24 08:00:00,3.7,18.9,0.0,6000
MQ,DFW,SHV,0,733.3333,2018-12-02 14:05:00,2,14:05:00,845,2018-12-02 14:00:00,7.7,12.1,0.0,10000
AA,BOS,MIA,1,2933.3333,2018-12-16 08:15:00,7,08:15:00,495,2018-12-16 08:00:00,4.8,23.4,0.0,6000
DL,SDF,ATL,1,1133.3334,2018-12-14 06:00:00,6,06:00:00,360,2018-12-14 06:00:00,8.9,11.6,0.5,5000
AA,MIA,LAX,1,4733.3335,2018-12-02 20:55:00,1,20:55:00,1255,2018-12-02 20:00:00,27.8,20.4,0.1,6000
US,LGA,BOS,0,826.6667,2018-12-20 06:00:00,5,06:00:00,360,2018-12-20 06:00:00,-1.6,8.4,0.0,6000
HA,HNL,SMF,0,4133.3335,2018-12-30 14:15:00,1,14:15:00,855,2018-12-30 14:00:00,22.7,19.5,0.1,6000
WN,OAK,PDX,1,1333.3334,2018-12-08 12:20:00,1,12:20:00,740,2018-12-08 12:00:00,6.9,5.4,0.0,10000
EV,TYS,ATL,1,933.3333,2018-12-27 12:57:00,2,12:57:00,777,2018-12-27 12:00:00,1.8,6.5,0.0,6000
WN,LAS,RNO,1,1066.6666,2018-12-11 15:05:00,1,15:05:00,905,2018-12-11 15:00:00,7.5,8.4,0.0,6000
AA,MIA,MSY,1,1666.6666,2018-12-08 22:40:00,1,22:40:00,1360,2018-12-08 22:00:00,24.4,15.5,0.0,6000
WN,LAS,SMF,1,1200.0,2018-12-13 16:05:00,4,16:05:00,965,2018-12-13 16:00:00,5.0,6.2,0.0,8000
B6,JFK,LGB,0,4906.6665,2018-12-28 13:05:00,5,13:05:00,785,2018-12-28 13:00:00,9.4,28.2,1.7,5000
DL,LAS,DTW,0,3053.3333,2018-12-30 23:40:00,5,23:40:00,1420,2018-12-30 23:00:00,10.9,9.0,0.0,10000
XE,IAH,TUL,1,1133.3334,2018-12-03 14:45:00,7,14:45:00,885,2018-12-03 14:00:00,10.2,15.8,0.0,9000
WN,BWI,BDL,1,933.3333,2018-12-15 08:25:00,5,08:25:00,505,2018-12-15 08:00:00,8.4,13.8,0.8,5000
US,PHX,SNA,0,1066.6666,2018-12-30 21:10:00,4,21:10:00,1270,2018-12-30 21:00:00,12.5,8.2,0.0,10000
US,MHT,CLT,0,2026.6666,2018-12-16 06:00:00,6,06:00:00,360,2018-12-16 06:00:00,-0.2,10.7,0.0,6000
AA,ORD,DFW,0,2000.0,2018-12-18 12:40:00,6,12:40:00,760,2018-12-18 12:00:00,-3.2,9.3,0.0,8000
AA,STL,MIA,0,2133.3333,2018-12-09 17:30:00,4,17:30:00,1050,2018-12-09 17:00:00,-0.9,9.4,0.0,10000
WN,MDW,CMH,1,933.3333,2018-12-10 06:10:00,2,06:10:00,370,2018-12-10 06:00:00,-7.3,6.5,0.0,10000
WN,PHL,FLL,1,2333.3333,2018-12-11 17:55:00,6,17:55:00,1075,2018-12-11 17:00:00,4.0,5.7,0.0,10000
US,CLT,DEN,0,2973.3333,2018-12-04 09:24:00,1,09:24:00,564,2018-12-04 09:00:00,4.8,6.6,0.0,6000
AA,MIA,MCO,0,800.0,2018-12-17 16:05:00,3,16:05:00,965,2018-12-17 16:00:00,19.5,14.3,0.0,10000
OO,DEN,FAR,0,1426.6666,2018-12-30 16:26:00,1,16:26:00,986,2018-12-30 16:00:00,2.9,17.6,0.0,10000
YV,ORD,CHS,0,1586.6666,2018-12-07 19:55:00,2,19:55:00,1195,2018-12-07 19:00:00,-3.2,15.9,0.0,10000
MQ,ORD,BDL,0,1666.6666,2018-12-22 12:05:00,5,12:05:00,725,2018-12-22 12:00:00,-1.8,5.1,0.0,6000
DL,ATL,TPA,1,1133.3334,2018-12-27 12:50:00,7,12:50:00,770,2018-12-27 12:00:00,6.2,24.6,0.1,6000
AA,SFO,JFK,0,4333.3335,2018-12-12 07:05:00,7,07:05:00,425,2018-12-12 07:00:00,12.7,13.6,0.0,6000
DL,SEA,CVG,1,3426.6667,2018-12-20 12:20:00,4,12:20:00,740,2018-12-20 12:00:00,8.1,17.1,0.3,6000
9E,MSP,SBN,0,1213.3334,2018-12-24 19:10:00,1,19:10:00,1150,2018-12-24 19:00:00,-3.6,4.2,0.0,9000
XE,BTV,EWR,0,1000.0,2018-12-27 06:15:00,6,06:15:00,375,2018-12-27 06:00:00,-4.8,21.3,0.0,6000
WN,BWI,BOS,1,1066.6666,2018-12-05 20:35:00,7,20:35:00,1235,2018-12-05 20:00:00,3.0,15.6,0.0,6000
DL,ATL,RSW,0,1333.3334,2018-12-04 16:25:00,2,16:25:00,985,2018-12-04 16:00:00,6.4,18.0,0.0,10000
WN,BNA,STL,0,933.3333,2018-12-08 09:50:00,5,09:50:00,590,2018-12-08 09:00:00,3.0,12.0,0.1,6000
XE,IAH,BHM,0,1240.0,2018-12-01 12:55:00,2,12:55:00,775,2018-12-01 12:00:00,19.2,10.3,0.0,10000
FL,BWI,MCO,0,1933.3334,2018-12-14 14:49:00,7,14:49:00,889,2018-12-14 14:00:00,5.2,4.8,0.0,6000
WN,BNA,HOU,0,1733.3334,2018-12-15 07:20:00,4,07:20:00,440,2018-12-15 07:00:00,11.0,7.9,0.1,6000
WN,LAX,SJC,1,866.6667,2018-12-27 16:00:00,3,16:00:00,960,2018-12-27 16:00:00,8.8,12.7,0.0,9000
WN,SDF,PHX,0,3400.0,2018-12-25 07:00:00,7,07:00:00,420,2018-12-25 07:00:00,0.6,5.1,0.0,6000
DL,MEM,SAT,1,1666.6666,2018-12-17 19:40:00,2,19:40:00,1180,2018-12-17 19:00:00,12.2,4.7,0.0,10000
AA,DFW,SEA,1,3400.0,2018-12-01 20:20:00,6,20:20:00,1220,2018-12-01 20:00:00,20.6,26.2,0.0,10000
EV,PHL,MEM,1,2253.3333,2018-12-06 11:00:00,5,11:00:00,660,2018-12-06 11:00:00,-2.2,14.0,0.0,9000
OO,DEN,MCI,0,1280.0,2018-12-15 08:44:00,2,08:44:00,524,2018-12-15 08:00:00,-1.6,10.2,0.0,6000
9E,LAN,MSP,0,1480.0,2018-12-30 06:45:00,4,06:45:00,405,2018-12-30 06:00:00,-1.8,17.3,0.2,4000
US,LAS,CLT,1,3320.0,2018-12-11 11:20:00,2,11:20:00,680,2018-12-11 11:00:00,8.5,12.4,0.0,6000
OH,EVV,CVG,0,773.3333,2018-12-02 08:30:00,1,08:30:00,510,2018-12-02 08:00:00,10.4,14.6,0.0,10000
9E,DTW,ELM,1,1133.3334,2018-12-01 21:30:00,4,21:30:00,1290,2018-12-01 21:00:00,3.5,21.5,1.1,4000
YV,DSM,PHX,0,2466.6667,2018-12-16 14:50:00,6,14:50:00,890,2018-12-16 14:00:00,-0.9,12.1,0.0,8000
DL,DTW,ATL,0,1813.3334,2018-12-29 09:55:00,2,09:55:00,595,2018-12-29 09:00:00,0.6,16.3,0.0,6000
WN,LBB,DAL,1,866.6667,2018-12-20 06:55:00,2,06:55:00,415,2018-12-20 06:00:00,9.1,22.4,0.0,8000
WN,HOU,MDW,0,1933.3334,2018-12-26 07:25:00,5,07:25:00,445,2018-12-26 07:00:00,17.5,17.1,0.0,6000
AA,DFW,PHX,1,2066.6667,2018-12-03 20:35:00,5,20:35:00,1235,2018-12-03 20:00:00,10.9,13.7,0.0,6000
OH,GRR,DTW,1,840.0,2018-12-07 08:25:00,4,08:25:00,505,2018-12-07 08:00:00,-4.7,2.5,0.0,6000
AA,DFW,ELP,0,1333.3334,2018-12-14 16:25:00,6,16:25:00,985,2018-12-14 16:00:00,6.8,30.6,0.1,6000
CO,MCO,EWR,0,2080.0,2018-12-01 10:23:00,2,10:23:00,623,2018-12-01 10:00:00,17.5,10.3,0.0,6000
US,DCA,TPA,0,1920.0,2018-12-11 19:30:00,5,19:30:00,1170,2018-12-11 19:00:00,5.8,7.9,0.0,10000
AA,DFW,SLC,1,2333.3333,2018-12-03 12:15:00,5,12:15:00,735,2018-12-03 12:00:00,7.8,10.2,0.0,8000
OO,DEN,DTW,0,2160.0,2018-12-16 17:43:00,2,17:43:00,1063,2018-12-16 17:00:00,7.8,9.7,0.0,10000
9E,MEM,DAL,0,1280.0,2018-12-06 09:25:00,5,09:25:00,565,2018-12-06 09:00:00,-0.1,9.0,0.0,6000
EV,AVL,ATL,0,1053.3334,2018-12-22 15:10:00,4,15:10:00,910,2018-12-22 15:00:00,1.2,17.9,0.0,6000
CO,SEA,ANC,1,2960.0,2018-12-08 13:08:00,3,13:08:00,788,2018-12-08 13:00:00,3.6,12.3,0.1,6000
WN,SFO,SNA,1,1133.3334,2018-12-29 08:50:00,6,08:50:00,530,2018-12-29 08:00:00,10.4,6.3,0.0,6000
AS,KTN,WRG,0,693.3333,2018-12-18 09:00:00,5,09:00:00,540,2018-12-18 09:00:00,6.8,38.6,0.3,6000
WN,SDF,BHM,0,933.3333,2018-12-02 10:50:00,2,10:50:00,650,2018-12-02 10:00:00,10.4,12.8,0.0,10000
XE,MKE,IAH,1,2293.3333,2018-12-17 14:10:00,6,14:10:00,850,2018-12-17 14:00:00,-1.1,20.0,0.0,6000
WN,GEG,BOI,1,800.0,2018-12-01 15:45:00,3,15:45:00,945,2018-12-01 15:00:00,0.2,9.7,0.3,3000
DL,BOS,LGA,1,920.0,2018-12-23 15:30:00,5,15:30:00,930,2018-12-23 15:00:00,1.1,20.0,0.0,10000
MQ,LAX,SAN,0,666.6667,2018-12-02 09:00:00,1,09:00:00,540,2018-12-02 09:00:00,11.4,18.8,0.0,10000
OH,SDF,DTW,0,1360.0,2018-12-30 12:45:00,6,12:45:00,765,2018-12-30 12:00:00,0.8,2.7,0.0,6000
YV,ORD,CHS,1,1626.6666,2018-12-25 14:20:00,2,14:20:00,860,2018-12-25 14:00:00,-1.1,8.4,0.0,6000
MQ,LEX,DFW,1,2000.0,2018-12-03 12:25:00,6,12:25:00,745,2018-12-03 12:00:00,3.0,11.0,0.0,10000
MQ,ATL,ORD,0,1666.6666,2018-12-02 14:05:00,7,14:05:00,845,2018-12-02 14:00:00,18.2,14.5,1.9,5000
OO,LAX,SLC,1,1520.0,2018-12-10 21:15:00,2,21:15:00,1275,2018-12-10 21:00:00,16.5,11.6,0.0,6000
